batch_id,source_id,member_name_normalized,final_decision,final_person_id,agreement_ratio,adjudicator_note
factory-20260219-lane_b-001,senado_votaciones,manuel,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,tomÁs,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,josep lluÍs,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,carmen calvo poyato,match,72939,1.00,pass1/pass2 exact match
factory-20260219-lane_b-001,senado_votaciones,sandra,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,marta lois gonzález,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,lilith verstrynge revuelta,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,marta maría rivera de la cruz,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,pablo vázquez vega,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,carla toscano de balbín,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,susana sumelzo jordán,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,margarita,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,santiago,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,maría luisa del moral leal,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,raquel sánchez jiménez,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,maria teresa,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,marÍa elena,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,encarnaciÓn,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,marÍa jesÚs,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,juan carlos,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,maria,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,begoña garcía bernal,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,milagros tolón jaime,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,idoia,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,héctor gómez hernández,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,margarita robles fernández,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,fernando grande-marlaska gómez,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,luis planas puchades,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,teresa ribera rodríguez,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,diana morant ripoll,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,isabel rodríguez garcía,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,josé manuel albares bueno,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,maría pilar alegría continente,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,miquel iceta i llorens,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,Óscar lópez Águeda,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,antonio hernando vera,match,69463,1.00,pass1/pass2 exact match
factory-20260219-lane_b-001,congreso_votaciones,francisco josé salazar rodríguez,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,josefa,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,marÍa mercedes,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,adolfo pérez abellás,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,adolfo suárez illana,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,agustín zamarrón moreno,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,alberto garzón espinosa,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,alicia garcía rodríguez,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,ana maría zurita expósito,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,ana prieto nieto,match,72927,1.00,pass1/pass2 exact match
factory-20260219-lane_b-001,congreso_votaciones,andrés lorite lorite,match,74529,1.00,pass1/pass2 exact match
factory-20260219-lane_b-001,congreso_votaciones,carmen riolobos regadera,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,concep cañadell salvia,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,daniel vicente viondi,match,68832,1.00,pass1/pass2 exact match
factory-20260219-lane_b-001,congreso_votaciones,diego gago bugarín,no_match,,1.00,pass1/pass2 agree no_match
