table_name,row_count,table_class,description,size_mb
liberty_delegated_enforcement_links,8,Junction,Delegated enforcement responsibility links between institutions and actors.,0.020
liberty_proportionality_reviews,8,Core Fact/Event,Review outputs using proportionality methodology.,0.020
sanction_norm_catalog,8,Legal/Sanctions,Norm catalog for sanctioning logic and expected compliance checks.,0.043
sanction_norm_fragment_links,8,Junction,Bridge between sanction catalog entries and legal fragments.,0.004
infoelectoral_convocatoria_tipos,6,Reference,Election-call type lookup from Infoelectoral.,0.004
liberty_right_categories,6,Reference,Right categories used by liberty/restriction assessments.,0.004
policy_instruments,6,Reference,Policy instrument dictionary.,0.004
sanction_procedural_metrics,6,Derived Analytics,Computed KPI values and audit metadata for sanction processes.,0.004
topic_sets,5,Reference,Configurable topic bundles/scopes for scoring and analysis.,0.004
admin_levels,4,Reference,Administrative level hierarchy for territories and institutions.,0.004
genders,3,Reference,Canonical person gender labels.,0.004
sanction_municipal_ordinance_fragments,3,Legal/Sanctions,Fragment-level mapping from municipal ordinances to legal references.,0.004
sanction_procedural_kpi_definitions,3,Reference,KPI dictionary for sanction process quality checks.,0.004
liberty_delegated_enforcement_methodologies,1,Reference,Methodology metadata for delegated enforcement assessments.,0.004
liberty_enforcement_methodologies,1,Reference,Methodology metadata for enforcement assessments.,0.004
liberty_indirect_methodologies,1,Reference,Methodology metadata for indirect responsibility.,0.004
liberty_irlc_methodologies,1,Reference,Methodology metadata for IRLC assessments.,0.004
liberty_proportionality_methodologies,1,Reference,Methodology metadata for proportionality analyses.,0.004
causal_estimates,0,Derived Analytics,Model-backed causal estimate artifacts for interventions and outcomes.,0.004
domains,0,Reference,Issue/policy domains for policy/economic/legal topics.,0.004
intervention_events,0,Junction,Intervention → policy-event linkage.,0.004
interventions,0,Core Fact/Event,Intervention abstractions over policy events.,0.004
money_contract_records,0,Procurement,PLACSP contract-side normalized records for monitoring spending and awarded amounts.,0.004
money_subsidy_records,0,Procurement,BDNS subsidy/grant records for public aid and beneficiary tracking.,0.004
person_name_aliases,0,Junction,Canonicalized name alias variants for a person.,0.004
policy_axes,0,Reference,Policy axis schema used for directional scoring.,0.004
policy_event_axis_scores,0,Derived Analytics,Policy-event directional scores by axis and method.,0.004
