schema_version,source_id,mode,exit_code,run_records_loaded,snapshot_date,run_id,run_status,run_records_seen,before_records,after_records,delta_records,run_started_at,run_finished_at,source_url,command,message,source_record_id,entity_id,_origin_file
v2,bdns_api_subvenciones,strict-network,1,0,2026-02-17,233,error,0,3,3,0,2026-02-17T10:33:19+00:00,2026-02-17T10:33:20+00:00,https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_api_subvenciones --snapshot-date 2026-02-17 --strict-network --timeout 30,Error: Respuesta HTML inesperada para BDNS feed (payload_sig=0401a40b059385b8a4d3e2fd933fe16213e22dd72df2f2fe2cdbd2872114c2fa),,,docs/etl/sprints/AI-OPS-10/evidence/bdns-strict-sql/bdns_api_subvenciones__strict-network_run_snapshot.csv
v2,bdns_autonomico,strict-network,1,0,2026-02-17,234,error,0,2,2,0,2026-02-17T10:33:19+00:00,2026-02-17T10:33:20+00:00,https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_autonomico --snapshot-date 2026-02-17 --strict-network --timeout 30,Error: Respuesta HTML inesperada para BDNS feed (payload_sig=0401a40b059385b8a4d3e2fd933fe16213e22dd72df2f2fe2cdbd2872114c2fa),,,docs/etl/sprints/AI-OPS-10/evidence/bdns-strict-sql/bdns_autonomico__strict-network_run_snapshot.csv
v2,eurostat_sdmx,from-file,0,2,2026-02-17,240,ok,2,2396,2396,0,2026-02-17T10:36:59+00:00,2026-02-17T10:37:06+00:00,file:///Users/jesus/Library/CloudStorage/GoogleDrive-gsus123456@gmail.com/My Drive/CdC/Obsidian Vault/vota-con-la-chola/etl/data/raw/samples/eurostat_sdmx_sample.json,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source eurostat_sdmx --from-file etl/data/raw/samples/eurostat_sdmx_sample.json --snapshot-date 2026-02-17 --timeout 45,Ingesta completada: 2/2 registros validos (from-file),,,docs/etl/sprints/AI-OPS-10/evidence/eurostat-sql/eurostat_sdmx__from-file_run_snapshot.csv
v2,eurostat_sdmx,replay,0,2,2026-02-17,241,ok,2,2396,2396,0,2026-02-17T10:37:10+00:00,2026-02-17T10:37:16+00:00,file:///Users/jesus/Library/CloudStorage/GoogleDrive-gsus123456@gmail.com/My Drive/CdC/Obsidian Vault/vota-con-la-chola/docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/eurostat_sdmx/eurostat_sdmx_replay_20260217.json,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source eurostat_sdmx --from-file docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/eurostat_sdmx/eurostat_sdmx_replay_20260217.json --snapshot-date 2026-02-17 --timeout 45,Ingesta completada: 2/2 registros validos (from-file),,,docs/etl/sprints/AI-OPS-10/evidence/eurostat-sql/eurostat_sdmx__replay_run_snapshot.csv
v2,eurostat_sdmx,strict-network,0,2394,2026-02-17,239,ok,2394,2396,2396,0,2026-02-17T10:36:42+00:00,2026-02-17T10:36:54+00:00,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_a,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source eurostat_sdmx --url https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_a --snapshot-date 2026-02-17 --strict-network --timeout 30,Ingesta completada: 2394/2394 registros validos,,,docs/etl/sprints/AI-OPS-10/evidence/eurostat-sql/eurostat_sdmx__strict-network_run_snapshot.csv
v2,placsp_autonomico,from-file,0,2,2026-02-17,229,ok,2,108,108,0,2026-02-17T10:31:23+00:00,2026-02-17T10:31:31+00:00,file:///Users/jesus/Library/CloudStorage/GoogleDrive-gsus123456@gmail.com/My Drive/CdC/Obsidian Vault/vota-con-la-chola/etl/data/raw/samples/placsp_autonomico_sample.xml,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_autonomico --from-file etl/data/raw/samples/placsp_autonomico_sample.xml --snapshot-date 2026-02-17 --timeout 45,Ingesta completada: 2/2 registros validos (from-file),,,docs/etl/sprints/AI-OPS-10/evidence/placsp-replay-sql/placsp_autonomico__from-file_run_snapshot.csv
v2,placsp_autonomico,replay,0,2,2026-02-17,230,ok,2,108,108,0,2026-02-17T10:31:36+00:00,2026-02-17T10:31:43+00:00,file:///Users/jesus/Library/CloudStorage/GoogleDrive-gsus123456@gmail.com/My Drive/CdC/Obsidian Vault/vota-con-la-chola/docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_autonomico --from-file docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml --snapshot-date 2026-02-17 --timeout 45,Ingesta completada: 2/2 registros validos (from-file),,,docs/etl/sprints/AI-OPS-10/evidence/placsp-replay-sql/placsp_autonomico__replay_run_snapshot.csv
v2,placsp_sindicacion,from-file,0,3,2026-02-17,231,ok,3,109,109,0,2026-02-17T10:31:46+00:00,2026-02-17T10:31:55+00:00,file:///Users/jesus/Library/CloudStorage/GoogleDrive-gsus123456@gmail.com/My Drive/CdC/Obsidian Vault/vota-con-la-chola/etl/data/raw/samples/placsp_sindicacion_sample.xml,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_sindicacion --from-file etl/data/raw/samples/placsp_sindicacion_sample.xml --snapshot-date 2026-02-17 --timeout 45,Ingesta completada: 3/3 registros validos (from-file),,,docs/etl/sprints/AI-OPS-10/evidence/placsp-replay-sql/placsp_sindicacion__from-file_run_snapshot.csv
v2,placsp_sindicacion,replay,0,3,2026-02-17,232,ok,3,109,109,0,2026-02-17T10:31:59+00:00,2026-02-17T10:32:05+00:00,file:///Users/jesus/Library/CloudStorage/GoogleDrive-gsus123456@gmail.com/My Drive/CdC/Obsidian Vault/vota-con-la-chola/docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_sindicacion --from-file docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml --snapshot-date 2026-02-17 --timeout 45,Ingesta completada: 3/3 registros validos (from-file),,,docs/etl/sprints/AI-OPS-10/evidence/placsp-replay-sql/placsp_sindicacion__replay_run_snapshot.csv
v2,placsp_autonomico,strict-network,1,0,2026-02-17,224,error,0,108,108,0,2026-02-17T10:29:05+00:00,2026-02-17T10:29:10+00:00,https://contrataciondelestado.es/sindicacion/sindicacion_643/licitacionesPerfilesContratanteCompleto3.atom,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_autonomico --snapshot-date 2026-02-17 --strict-network --timeout 30,Error: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)>,,,docs/etl/sprints/AI-OPS-10/evidence/placsp-strict-sql/placsp_autonomico__strict-network_run_snapshot.csv
v2,placsp_sindicacion,strict-network,1,0,2026-02-17,223,error,0,109,109,0,2026-02-17T10:29:05+00:00,2026-02-17T10:29:10+00:00,https://contrataciondelestado.es/sindicacion/sindicacion_643/licitacionesPerfilesContratanteCompleto3.atom,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_sindicacion --snapshot-date 2026-02-17 --strict-network --timeout 60,Error: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)>,,,docs/etl/sprints/AI-OPS-10/evidence/placsp-strict-sql/placsp_sindicacion__strict-network_run_snapshot.csv
