link_key,fragment_id,norm_id,boe_id_context,delegated_institution_label,designated_role_title,reasons_csv,candidate_rank_for_link,candidate_score,candidate_relevance_bucket,autofill_confidence,candidate_boe_id,candidate_doc_url,candidate_publication_date,candidate_publication_date_iso,candidate_department,candidate_title,candidate_person_hint,role_token_overlap,institution_token_overlap,suggested_reviewed_designated_actor_label,suggested_reviewed_enforcement_evidence_date,suggested_reviewed_source_url,suggested_reviewed_evidence_quote,recommended_action,review_status,review_note
delegated_enforcement_v1|es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias|Ministerio de Hacienda|AEAT|Agencia Estatal de Administracion Tributaria|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23514,es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias,es:boe-a-2003-23514,BOE-A-2003-23514,AEAT,Direccion General de la AEAT,institutional_designated_actor,2,28,weak,low,BOE-A-2010-5072,https://www.boe.es/buscar/doc.php?id=BOE-A-2010-5072,27/03/2010,2010-03-27,Ministerio de Economía y Hacienda,"Resolución de 17 de marzo de 2010, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se delega el ejercicio de las competencias para el nombramiento y cese de los representantes de la Agencia Estatal de Administración Tributaria en las Comisiones o grupos de trabajo del Consejo Superior para la Dirección y Coordinación de la Gestión Tributaria, así como para el nombramiento y cese de los representantes y sus sustitutos de la Agencia en los Consejos Territoriales para la Dirección y Coordinación de la Gestión Tributaria.",,0,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2010-5072,"Resolución de 17 de marzo de 2010, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se delega el ejercicio de las competencias para el nombramiento y cese de los representantes de la Agencia Estatal de Administración Tributaria en las Comisiones o grupos de trabajo del Consejo Superior para la Dirección y Coordinación de la Gestión Tributaria, así como para el nombramiento y cese de los representantes y sus sustitutos de la Agencia en los Consejos Territoriales para la Dirección y Coordinación de la Gestión Tributaria.",inspect_candidate,pending,
delegated_enforcement_v1|es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias|Ministerio de Hacienda|AEAT|Agencia Estatal de Administracion Tributaria|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23514,es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias,es:boe-a-2003-23514,BOE-A-2003-23514,AEAT,Direccion General de la AEAT,institutional_designated_actor,3,27,medium,medium,BOE-A-2008-9974,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-9974,11/06/2008,2008-06-11,Ministerio de Economía y Hacienda,"Resolución de 10 de junio de 2008, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Director del Servicio de Auditoría Interna de la Agencia Estatal de Administración Tributaria, de don Tomás Merola Macanás.",Tomás Merola Macanás,0,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-9974,"Resolución de 10 de junio de 2008, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Director del Servicio de Auditoría Interna de la Agencia Estatal de Administración Tributaria, de don Tomás Merola Macanás.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion,es:boe-a-2004-18398,BOE-A-2004-18398,AEAT,Unidad procedimental sancionadora,missing_designated_actor|missing_enforcement_evidence_date,1,29,weak,low,BOE-A-2024-12397,https://www.boe.es/buscar/doc.php?id=BOE-A-2024-12397,19/06/2024,2024-06-19,Ministerio de Hacienda,"Resolución de 12 de junio de 2024, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se renueva el nombramiento de vocales de la Comisión Consultiva de Ética.",,0,0,,2024-06-19,https://www.boe.es/buscar/doc.php?id=BOE-A-2024-12397,"Resolución de 12 de junio de 2024, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se renueva el nombramiento de vocales de la Comisión Consultiva de Ética.",inspect_candidate,pending,
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion,es:boe-a-2004-18398,BOE-A-2004-18398,AEAT,Unidad procedimental sancionadora,missing_designated_actor|missing_enforcement_evidence_date,2,28,weak,low,BOE-A-2010-5072,https://www.boe.es/buscar/doc.php?id=BOE-A-2010-5072,27/03/2010,2010-03-27,Ministerio de Economía y Hacienda,"Resolución de 17 de marzo de 2010, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se delega el ejercicio de las competencias para el nombramiento y cese de los representantes de la Agencia Estatal de Administración Tributaria en las Comisiones o grupos de trabajo del Consejo Superior para la Dirección y Coordinación de la Gestión Tributaria, así como para el nombramiento y cese de los representantes y sus sustitutos de la Agencia en los Consejos Territoriales para la Dirección y Coordinación de la Gestión Tributaria.",,0,0,,2010-03-27,https://www.boe.es/buscar/doc.php?id=BOE-A-2010-5072,"Resolución de 17 de marzo de 2010, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se delega el ejercicio de las competencias para el nombramiento y cese de los representantes de la Agencia Estatal de Administración Tributaria en las Comisiones o grupos de trabajo del Consejo Superior para la Dirección y Coordinación de la Gestión Tributaria, así como para el nombramiento y cese de los representantes y sus sustitutos de la Agencia en los Consejos Territoriales para la Dirección y Coordinación de la Gestión Tributaria.",inspect_candidate,pending,
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion,es:boe-a-2004-18398,BOE-A-2004-18398,AEAT,Unidad procedimental sancionadora,missing_designated_actor|missing_enforcement_evidence_date,3,27,medium,medium,BOE-A-2008-9974,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-9974,11/06/2008,2008-06-11,Ministerio de Economía y Hacienda,"Resolución de 10 de junio de 2008, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Director del Servicio de Auditoría Interna de la Agencia Estatal de Administración Tributaria, de don Tomás Merola Macanás.",Tomás Merola Macanás,0,0,Tomás Merola Macanás,2008-06-11,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-9974,"Resolución de 10 de junio de 2008, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Director del Servicio de Auditoría Interna de la Agencia Estatal de Administración Tributaria, de don Tomás Merola Macanás.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2015-11722:fragment:articulo:bloque-sancionador-principal|Ministerio competente en trafico|DGT|Direccion General de Trafico|https://www.boe.es/buscar/act.php?id=BOE-A-2015-11722,es:boe-a-2015-11722:fragment:articulo:bloque-sancionador-principal,es:boe-a-2015-11722,BOE-A-2015-11722,DGT,Direccion General,institutional_designated_actor,1,49,strong,high,BOE-A-2003-23115,https://www.boe.es/buscar/doc.php?id=BOE-A-2003-23115,17/12/2003,2003-12-17,Ministerio del Interior,"Orden INT/3514/2003, de 5 de diciembre, por la que se dispone el nombramiento de don Mariano Fernández Fernández como Subdirector General de Normativa y Recursos de la Dirección General de Tráfico.",Mariano Fernández Fernández,1,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2003-23115,"Orden INT/3514/2003, de 5 de diciembre, por la que se dispone el nombramiento de don Mariano Fernández Fernández como Subdirector General de Normativa y Recursos de la Dirección General de Tráfico.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2015-11722:fragment:articulo:bloque-sancionador-principal|Ministerio competente en trafico|DGT|Direccion General de Trafico|https://www.boe.es/buscar/act.php?id=BOE-A-2015-11722,es:boe-a-2015-11722:fragment:articulo:bloque-sancionador-principal,es:boe-a-2015-11722,BOE-A-2015-11722,DGT,Direccion General,institutional_designated_actor,2,48,strong,high,BOE-A-1997-2771,https://www.boe.es/buscar/doc.php?id=BOE-A-1997-2771,08/02/1997,1997-02-08,Ministerio del Interior,Orden de 24 de enero de 1997 por la que se dispone el nombramiento de don Ventura Hernando Barberán como Subdirector general de Legislación y Recursos de la Dirección General de Tráfico.,Ventura Hernando Barberán,1,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-1997-2771,Orden de 24 de enero de 1997 por la que se dispone el nombramiento de don Ventura Hernando Barberán como Subdirector general de Legislación y Recursos de la Dirección General de Tráfico.,review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2015-11722:fragment:articulo:bloque-sancionador-principal|Ministerio competente en trafico|DGT|Direccion General de Trafico|https://www.boe.es/buscar/act.php?id=BOE-A-2015-11722,es:boe-a-2015-11722:fragment:articulo:bloque-sancionador-principal,es:boe-a-2015-11722,BOE-A-2015-11722,DGT,Direccion General,institutional_designated_actor,3,47,strong,high,BOE-A-1996-25171,https://www.boe.es/buscar/doc.php?id=BOE-A-1996-25171,13/11/1996,1996-11-13,Ministerio del Interior,"Orden de 29 de octubre de 1996 por la que se dispone el nombramiento de doña Enriqueta Zepeda Aguilar, como Secretaría general, de la Dirección General de Tráfico.",Enriqueta Zepeda Aguilar,1,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-1996-25171,"Orden de 29 de octubre de 1996 por la que se dispone el nombramiento de doña Enriqueta Zepeda Aguilar, como Secretaría general, de la Dirección General de Tráfico.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2015-11724:fragment:articulo:bloque-de-infracciones-y-sanciones|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social|Organismo Estatal ITSS|https://www.boe.es/buscar/act.php?id=BOE-A-2015-11724,es:boe-a-2015-11724:fragment:articulo:bloque-de-infracciones-y-sanciones,es:boe-a-2015-11724,BOE-A-2015-11724,Inspeccion de Trabajo y Seguridad Social,Direccion del Organismo Estatal ITSS,institutional_designated_actor,1,29,medium,medium,BOE-A-2001-17717,https://www.boe.es/buscar/doc.php?id=BOE-A-2001-17717,19/09/2001,2001-09-19,Ministerio de Trabajo y Asuntos Sociales,"Orden de 6 de septiembre de 2001 por la que se dispone el nombramiento, por el procedimiento de libre designación, de don Jaime Garicano Rojas como Subdirector general de Asuntos Generales de la Dirección General de la Inspección de Trabajo y Seguridad Social.",Jaime Garicano Rojas,0,3,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2001-17717,"Orden de 6 de septiembre de 2001 por la que se dispone el nombramiento, por el procedimiento de libre designación, de don Jaime Garicano Rojas como Subdirector general de Asuntos Generales de la Dirección General de la Inspección de Trabajo y Seguridad Social.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2015-11724:fragment:articulo:bloque-de-infracciones-y-sanciones|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social|Organismo Estatal ITSS|https://www.boe.es/buscar/act.php?id=BOE-A-2015-11724,es:boe-a-2015-11724:fragment:articulo:bloque-de-infracciones-y-sanciones,es:boe-a-2015-11724,BOE-A-2015-11724,Inspeccion de Trabajo y Seguridad Social,Direccion del Organismo Estatal ITSS,institutional_designated_actor,2,28,medium,medium,BOE-A-1987-15212,https://www.boe.es/buscar/doc.php?id=BOE-A-1987-15212,02/07/1987,1987-07-02,Ministerio de Trabajo y Seguridad Social,Orden de 24 de junio de 1987 por la que se dispone el nombramiento de don Angel Allue Buiza como Subdirector general de Coordinación y Planificación de la Dirección General de la Inspección de Trabajo y Seguridad Social.,Angel Allue Buiza,0,3,,,https://www.boe.es/buscar/doc.php?id=BOE-A-1987-15212,Orden de 24 de junio de 1987 por la que se dispone el nombramiento de don Angel Allue Buiza como Subdirector general de Coordinación y Planificación de la Dirección General de la Inspección de Trabajo y Seguridad Social.,review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2015-11724:fragment:articulo:bloque-de-infracciones-y-sanciones|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social|Organismo Estatal ITSS|https://www.boe.es/buscar/act.php?id=BOE-A-2015-11724,es:boe-a-2015-11724:fragment:articulo:bloque-de-infracciones-y-sanciones,es:boe-a-2015-11724,BOE-A-2015-11724,Inspeccion de Trabajo y Seguridad Social,Direccion del Organismo Estatal ITSS,institutional_designated_actor,3,27,medium,medium,BOE-A-1985-12316,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-12316,27/06/1985,1985-06-27,Ministerio de Trabajo y Seguridad Social,Orden de 3 de junio de 1985 por la que se dispone el nombramiento de don Urbano Martín Alonso como Subdirector general de Coordinación y Planificación en la Dirección General de la Inspección de Trabajo y Seguridad Social.,Urbano Martín Alonso,0,3,,,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-12316,Orden de 3 de junio de 1985 por la que se dispone el nombramiento de don Urbano Martín Alonso como Subdirector general de Coordinación y Planificación en la Dirección General de la Inspección de Trabajo y Seguridad Social.,review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2015-3442:fragment:articulo:bloque-sancionador-principal|Ministerio del Interior|Delegaciones/Subdelegaciones del Gobierno|Delegaciones del Gobierno|https://www.boe.es/buscar/act.php?id=BOE-A-2015-3442,es:boe-a-2015-3442:fragment:articulo:bloque-sancionador-principal,es:boe-a-2015-3442,BOE-A-2015-3442,Delegaciones/Subdelegaciones del Gobierno,Autoridad gubernativa,institutional_designated_actor,1,29,medium,medium,BOE-A-2008-12065,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-12065,15/07/2008,2008-07-15,Ministerio de Administraciones Públicas,"Resolución de 16 de junio de 2008, de la Delegación del Gobierno en la Comunidad Autónoma de las Illes Balears, por la que se dispone el nombramiento de doña Sofía del Carmen Hernanz Costa como Directora Insular de la Administración General del Estado en Ibiza-Formentera.",Sofía del Carmen Hernanz Costa,0,1,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-12065,"Resolución de 16 de junio de 2008, de la Delegación del Gobierno en la Comunidad Autónoma de las Illes Balears, por la que se dispone el nombramiento de doña Sofía del Carmen Hernanz Costa como Directora Insular de la Administración General del Estado en Ibiza-Formentera.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2015-3442:fragment:articulo:bloque-sancionador-principal|Ministerio del Interior|Delegaciones/Subdelegaciones del Gobierno|Delegaciones del Gobierno|https://www.boe.es/buscar/act.php?id=BOE-A-2015-3442,es:boe-a-2015-3442:fragment:articulo:bloque-sancionador-principal,es:boe-a-2015-3442,BOE-A-2015-3442,Delegaciones/Subdelegaciones del Gobierno,Autoridad gubernativa,institutional_designated_actor,2,28,medium,medium,BOE-A-2008-11993,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-11993,14/07/2008,2008-07-14,Ministerio de Administraciones Públicas,"Resolución de 9 de julio de 2008, de la Delegación del Gobierno en la Comunidad Autónoma de Castilla-La Mancha por la que se dispone el nombramiento de don Julio Magdalena Calvo como Subdelegado del Gobierno en Cuenca.",Julio Magdalena Calvo,0,1,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-11993,"Resolución de 9 de julio de 2008, de la Delegación del Gobierno en la Comunidad Autónoma de Castilla-La Mancha por la que se dispone el nombramiento de don Julio Magdalena Calvo como Subdelegado del Gobierno en Cuenca.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2015-3442:fragment:articulo:bloque-sancionador-principal|Ministerio del Interior|Delegaciones/Subdelegaciones del Gobierno|Delegaciones del Gobierno|https://www.boe.es/buscar/act.php?id=BOE-A-2015-3442,es:boe-a-2015-3442:fragment:articulo:bloque-sancionador-principal,es:boe-a-2015-3442,BOE-A-2015-3442,Delegaciones/Subdelegaciones del Gobierno,Autoridad gubernativa,institutional_designated_actor,3,27,medium,medium,BOE-A-2008-11994,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-11994,14/07/2008,2008-07-14,Ministerio de Administraciones Públicas,"Resolución de 9 de julio de 2008, de la Delegación del Gobierno en la Comunidad Autónoma de Castilla-La Mancha por la que se dispone el nombramiento de doña Araceli Muñoz de Pedro como Subdelegada del Gobierno en Guadalajara.",Araceli Muñoz de Pedro,0,1,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-11994,"Resolución de 9 de julio de 2008, de la Delegación del Gobierno en la Comunidad Autónoma de Castilla-La Mancha por la que se dispone el nombramiento de doña Araceli Muñoz de Pedro como Subdelegada del Gobierno en Guadalajara.",review_for_possible_approval,pending,
