batch_id,unit_type,unit_id,final_concern_ids_csv,primary_concern_id,agreement_ratio,adjudicator_note
factory-20260219-lane_d-001,parl_initiative_doc,141612,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141613,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141613,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141613,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141614,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141615,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141616,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141617,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141618,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141619,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141620,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141621,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141622,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141623,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141624,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141625,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141626,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141627,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141628,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141629,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141630,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141631,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141632,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141633,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141634,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141635,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141636,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141637,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141638,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141639,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141640,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141641,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141642,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141643,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141644,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141645,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141646,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141647,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141648,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141649,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141650,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141651,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141652,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141653,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141654,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141655,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141656,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141657,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141658,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141659,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141660,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141661,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141662,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141663,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141664,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141665,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141666,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141667,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141668,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141669,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141670,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141671,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141672,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141673,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141674,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141675,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141676,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141677,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141678,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141679,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141680,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141681,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141682,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141683,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141684,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141685,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141686,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141687,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141688,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141689,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141690,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141691,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141692,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141693,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141694,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141695,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141696,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141697,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141698,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141699,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141700,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141701,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141702,vivienda,vivienda,1.00,single-pass deterministic adjudication
