policy_event_id,source_id,source_record_pk,source_url,title,summary,policy_instrument_id,domain_id
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_16051544:2db798a90922,placsp_contratacion,126749,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=fkvtmSiXTS%2B2gkLQ8TeYKA%3D%3D,"Ejecución de la actuación ""climatización de dos edificios municipales en Gema, media 3: instalaciones de generación de térmica renovable y de redes de calor y /o frío"" en Plaza Mayor 1 (Ayuntamiento y Consultorio Médico) y en calle Cayo Zapata 33 (Escuela), en Gema (Zamora), conforme al proyecto técnico aprobado en Pleno de la corporación",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_16051696:a4b19f4b600d,placsp_contratacion,126750,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=vr1XqkmWHn%2BdkQsA7ROvsg%3D%3D,"Ejecución de la actuación ”instalación solar fotovoltaica para autoconsumo colectivo de 15,18 kWp en calle Cayo Zapata 33, Gema (Zamora)” en Gema (Zamora), conforme al proyecto técnico aprobado en Pleno de la corporación.",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_16795064:0ec4211c78cd,placsp_contratacion,126751,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=RvkEDtt3cfE%2B1TMyIiZmzw%3D%3D,"Suministro, suscripción y acceso a publicaciones periódicas españolas y extranjeras, impresas y electrónicas y paquetes de revistas electrónicas con destino en las distintas Bibliotecas de la Universidad Miguel Hernández de Elche.",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_17395081:25757d27eebd,placsp_contratacion,126752,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=S6vYk%2BOkXuf%2B3JAijKO%2Bkg%3D%3D,Mejora de redes de abastecimiento en localidades agregadas,,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_17510204:a18994c0ab17,placsp_contratacion,126753,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=a4E3fmglKAHIGlsa0Wad%2Bw%3D%3D,Acuerdo marco cerrado múltiple de suministro de sistemas cerrados de transferencia y administración de fármacos peligrosos para los centros dependientes del Servei de Salut de les Illes Balears,,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_17731526:45c56c7c3e67,placsp_contratacion,126754,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=iB%2FvAUZ%2FCZazz8fXU2i3eQ%3D%3D,Obras de reforma integral del Parador de Turismo de Nerja (Málaga).,27130000,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_17731721:faffe0c67bea,placsp_contratacion,126755,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=TmK7Nz4ZemKTylGzYmBF9Q%3D%3D,Servicios de desarrollo de componentes comunes software para la producción estadística y de una oficina técnica de integración y soporte a las plataformas de desarrollo y analítica del INE,,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_17877727:26cb4b8a09f1,placsp_contratacion,126756,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=lR9JObU721Ds%2BnLj3vAg5A%3D%3D,Suministro de productos químicos para reparación estructural en la obra de consolidación del edificio Valcárcel en Cádiz,,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_17978189:d2f3c2981207,placsp_contratacion,126757,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=ZPGjNH52DzK7JOCXkOhcDg%3D%3D,"Demolición de forjados en la obra de ""Consolidación de edificio Valcárcel en Cádiz""",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18161281:0d5510ac2ca4,placsp_contratacion,126758,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=7dO%2BYzEpjrN%2BF6L2uCfUWg%3D%3D,Suministro de fancoils en la sede central del Ministerio de Transportes y Movilidad Sostenible.,,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18171330:0f312ad2a810,placsp_contratacion,126759,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=80pkwiAxLoT%2B3JAijKO%2Bkg%3D%3D,"Producción, suministro y montaje del proyecto museográfico del “Centro de visitantes smart” aprobado por la Consejería de Turismo, Cultura y Deporte de la Junta de Andalucía para la ejecución del PSTD de Montilla, en el marco del PRTR(C14.I1.2), financiado por la Unión Europea -Next Generation EU",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18171521:19ffad7a02a7,placsp_contratacion,126760,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=5j44kFak7QjpxJFXpLZ%2B2A%3D%3D,"Contratación del suministro de coberturas de chocolate e ingredientes de pastelería, con destino a los establecimientos de Paradores de Turismo de España, S.M.E., S.A.",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18184155:c5dc703735e2,placsp_contratacion,126761,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=o3wHGmUCUs5rhBlEHQFSKA%3D%3D,"Suministro de material de protección para plantas contra roedores, conejos y ungulados, en las actuaciones a desempeñar en la finca Los Mimbrales en el T.M. de Almonte (Huelva), financiado con fondos procedentes del Plan de Recuperación, Transformación y Resiliencia financiado por la Unión Europea.",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18210758:8eb424b87e5d,placsp_contratacion,126762,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=N9LQUHMxHjJSYrkJkLlFdw%3D%3D,Obra para la climatización de la cocina y la lavandería del Parador de Turismo de Sos del Rey Católico (Zaragoza).,,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18242483:9ee283c02bc7,placsp_contratacion,126763,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=2J%2FjZ0GseEkXhk1FZxEyvw%3D%3D,"Redacción del proyecto, suministro e instalación de la decoración de zonas comunes y habitaciones del Parador de Turismo de Sos del Rey Católico (Zaragoza).",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18293828:488c5657f8d3,placsp_contratacion,126764,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=gEON9ujaLkgQyBAnWzHfCg%3D%3D,"Redacción del proyecto, suministro e instalación de la decoración de zonas comunes y habitaciones del Parador de Turismo de Monforte de Lemos (Lugo).",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18303326:78e2906b2a00,placsp_contratacion,126765,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=XqpsLKN9tUF4zIRvjBVCSw%3D%3D,Servicio de vigilancia y seguridad del edificio y dependencias del Parlamento de Cantabria para los años 2026 y 2027 sin posibilidad de prorroga.,,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18309252:3175dfccc435,placsp_contratacion,126766,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=IdG28NtbyFE7u6%2B%2FR7DUoA%3D%3D,Servicio de mantenimiento de la vía pública en las pedanías de Murcia (6 lotes),,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18320264:1bc6a9e6c552,placsp_contratacion,126767,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=jDJx7fG3p8j%2Fa9DgO%2BoYKQ%3D%3D,Mediación intercultural 2026-2027,,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18320522:7fa778fb10b8,placsp_contratacion,126768,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=YiZ1mnADscC7JOCXkOhcDg%3D%3D,Suministro de equipamiento sanitario de uso veterinario en el ámbito territorial de Castilla y León a adjudicar por procedimiento abierto.,,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18360156:2a6a91a0109d,placsp_contratacion,126769,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Rv7CiBy2WJ2zz8fXU2i3eQ%3D%3D,"Vigilancia, explotación, mantenimiento y conservación de las presas adscritas a la dirección adjunta de la Confederación Hidrográfica del Tajo",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18412379:8a062047ae62,placsp_contratacion,126770,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=TChz5BJzbl%2FECtSnloz%2BZQ%3D%3D,"Servizos de redacción do proxecto executivo e estudo de seguridade e saúde, dirección de obra, coordinación de seguridade e saúde, asistencia á mesa de contratación na elaboración de pregos e xestión da xustif. de execución da actuación “Mellora da eficiencia enerxética en recursos turísticos de Ribeira Sacra: alumeado exterior e vía pública de acceso ou contornas de recursos turísticos”.",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18420942:10aba33525df,placsp_contratacion,126771,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=aykIn%2BnujXdVq4S9zvaQpQ%3D%3D,"Contratación del suministro de arena silícea con destino al Parador de Málaga Golf (Málaga) y el Parador de El Saler (Valencia) de Paradores de Turismo de España, S.M.E., S.A",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18421167:858278e8ec36,placsp_contratacion,126772,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=NoC2BpKHatx4zIRvjBVCSw%3D%3D,"Contrato de obras por procedimiento abierto ordinario, tramitación urgente de la separata II de la construcción de estructura para edificio social en Calle Mariñosas 10",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18458891:dcc24639bfaa,placsp_contratacion,126773,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=eWXT40A0r%2FTECtSnloz%2BZQ%3D%3D,Proyecto de ampliación de perreras acuartelamiento Guardia Civil Torralba de Calatrava,,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18467523:739df44ecb69,placsp_contratacion,126774,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Av6r9iEAQEjgL1BHd3qjQA%3D%3D,"Obras de reparación y renovación del esgrafiado de fachadas del edificio municipal “Hotel Madrid”, por procedimiento abierto simplificado, no sujeto a regulación armonizada y con varios criterios de adjudicación.",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18477166:e723a9254d05,placsp_contratacion,126775,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=QQjPdujzjEL%2Fa9DgO%2BoYKQ%3D%3D,Servicio de Mantenimiento de Ascensores de los Edificios Municipales.,,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18477288:52ba4f6ce8db,placsp_contratacion,126776,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=SlfaLqG4yAwwYTJJ03sHog%3D%3D,Suministro de equipos single Pair High-Speed Digital Subscriber Line industriales gestionables para la red Internet Protocol Multimedia de Adif,,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18477533:d0debc61247b,placsp_contratacion,126777,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=MGwqhmCxcaUzjChw4z%2FXvw%3D%3D,"Ejecución de las obras de construcción de 15 viviendas protegidas de alquiler asequible en Av. de la Constitución Nº 4, Torrelavega, de acuerdo con el proyecto de ejecución redactado por D. Edgar Robledo García, arquitecto colegiado en el COACAN Nº 1690.",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18498939:ebcfa739a4e5,placsp_contratacion,126778,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=igYGKusH%2ByhVq4S9zvaQpQ%3D%3D,Ejecución de obras definidas en el Proyecto básico y de Ejecución de adecuación de local en el edificio Fuero de Avilés.,,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18507176:8ec13b297048,placsp_contratacion,126779,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=QxJvb5baO99eKgd8LfVV9g%3D%3D,Suministro e instalación de un sistema AntiAPTs en el Departamento de Seguridad Nacional.,,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18507285:235af03094ad,placsp_contratacion,126780,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Ldcfv2sK5OAQyBAnWzHfCg%3D%3D,"Ejecución de las Obras de Finalización de la Rehabilitación de la Antigua Cárcel sita en Plaza de la Paz número 17 de esta ciudad, incluida en la Estrategia DUSI Sanlúcar de Barrameda 2.020 en la Operación Regeneración Física y Económica de las Áreas Vulnerables de la ciudad de Sanlúcar de Barrameda",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18507480:4224ef68cb6b,placsp_contratacion,126781,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=RFMeSlLCQebua%2Fi14w%2FPLA%3D%3D,"Servicio de consultoría para la evaluación del desempeño en economía circular de la red de PARADORES DE TURISMO DE ESPAÑA, S.M.E., S.A., mediante el diseño de una herramienta y la identificación de oportunidades de mejora.",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18516606:943877742dbd,placsp_contratacion,126782,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=z4Zow6%2BwUSY%2Bk2oCbDosIw%3D%3D,Obras de tratamiento impermeabilizante para solados interiores de piedra caliza en el Parador de Turismo de Ibiza (Illes Balears).,,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18555846:4b5d03cb69be,placsp_contratacion,126783,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=vM7IcU3bujDjHF5qKI4aaw%3D%3D,"Contratación del Servicio de asistencia integral y administración de los edificios titularidad de Sociedad de Proyectos para la Transformación Digital, SA ubicados en la ciudad de Alicante destinados a albergar empresas",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18580554:6d41dac78cf5,placsp_contratacion,126784,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=KlROSWR1HUNq1DdmE7eaXg%3D%3D,"Servicio de transporte a través de vehículo convencional no sanitario (taxi, VTC o cualquier otro incluido en el código CPV) para traslado de mutualistas de MAZ M.C.S.S. Nº 11 (en adelante MAZ), en la Provincia de Lugo.",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18592309:2c6ee01f6fdf,placsp_contratacion,126785,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=0LTY3HDfDDGFQ%2FlhRK79lA%3D%3D,"Prestación de asistencia sanitaria ante problemas de salud de los empleados públicos del Ministerio para la Transformación Digital y de la Función Pública y del Ministerio de Industria y Turismo que desarrollan sus funciones en el centro de trabajo ubicado en la calle Poeta Joan Maragall 41, 28020 de Madrid, (en adelante PJM) y atención en caso de urgencia.",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18689926:ba848041b386,placsp_contratacion,126786,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=bipptrO3PFp6nTs9LZ9RhQ%3D%3D,Servicio de desplazamiento del personal operativo en el ámbito de miranda de ebro,,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18690335:d3220c23e369,placsp_contratacion,126787,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=HZs0%2BuLiAzM36J9Lctlsuw%3D%3D,Servicio de transporte de residuos para la obra de Mejora de las Instalaciones del Destacamento Naval de la Isla de Alborán (Almería),,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_18703796:f7cdfa840a10,placsp_contratacion,126788,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=GULHxPpmA6icCF8sV%2BqtYA%3D%3D,Contratación del Suministro mediante suscripción de licencias de productos Atlassian y servicios de soporte evolutivo y correctivo sobre la solución implantada,,21,
