issue_id,decision,reviewed_primary_cluster_id,reviewed_cluster_ids,reviewer,reviewed_at,rationale
parl-initiative:senado:leg14:exp:610/000056,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Termination of bilateral investment treaties belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000059,set_clusters,public-finance-taxation,"[""public-finance-taxation"",""international-relations-treaties""]",Dev,2026-05-10,"European Stability Mechanism treaty modification belongs in public finance and international treaties."
parl-initiative:senado:leg14:exp:610/000041,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Air transport agreement belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000043,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Air transport agreement belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000060,set_clusters,public-finance-taxation,"[""public-finance-taxation"",""international-relations-treaties""]",Dev,2026-05-10,"Single Resolution Fund transfer and mutualization agreement belongs in public finance and international treaties."
parl-initiative:senado:leg15:exp:622/000010,set_clusters,public-finance-taxation,"[""public-finance-taxation"",""labor-social-rights""]",Dev,2026-05-10,"IBI tax bonuses for single-parent families belong in public finance and social/family rights."
parl-initiative:senado:leg14:exp:610/000054,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Economic partnership agreement belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000053,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"EU-Singapore cooperation agreement belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000057,set_clusters,labor-social-rights,"[""labor-social-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Paid activity rights for diplomatic family members belong in labor/social rights and international treaties."
parl-initiative:senado:leg14:exp:610/000078,set_clusters,agriculture-food-rural,"[""agriculture-food-rural"",""international-relations-treaties""]",Dev,2026-05-10,"Fleet activity conditions in Spanish and Portuguese waters belong in fisheries and international treaties."
parl-initiative:senado:leg14:exp:610/000048,set_clusters,climate-environment-water,"[""climate-environment-water"",""international-relations-treaties""]",Dev,2026-05-10,"Safe and environmentally sound ship recycling convention belongs in environment and international treaties."
parl-initiative:senado:leg14:exp:610/000052,set_clusters,public-finance-taxation,"[""public-finance-taxation"",""international-relations-treaties""]",Dev,2026-05-10,"Fiscal treaty reservation changes belong in public finance/taxation and international treaties."
parl-initiative:senado:leg15:exp:622/000019,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-10,"Illegal occupation and public safety bill belongs in justice/security rights."
parl-initiative:senado:leg15:exp:622/000020,set_clusters,public-finance-taxation,"[""public-finance-taxation"",""labor-social-rights""]",Dev,2026-05-10,"Employer Social Security contribution bonuses belong in public finance and labor/social protection."
parl-initiative:senado:leg14:exp:610/000045,set_clusters,justice-security-rights,"[""justice-security-rights"",""digital-finance-technology"",""international-relations-treaties""]",Dev,2026-05-10,"Electronic legal cooperation requests belong in justice digital procedure and international treaties."
parl-initiative:senado:leg14:exp:610/000042,set_clusters,agriculture-food-rural,"[""agriculture-food-rural"",""international-relations-treaties""]",Dev,2026-05-10,"International Olive Council headquarters agreement belongs in agriculture and international treaties."
parl-initiative:senado:leg15:exp:610/000005,set_clusters,justice-security-rights,"[""justice-security-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Transfer of sentenced persons agreement belongs in justice/security and international treaties."
parl-initiative:senado:leg14:exp:610/000055,set_clusters,justice-security-rights,"[""justice-security-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Crime and security cooperation agreement belongs in justice/security and international treaties."
parl-initiative:senado:leg15:exp:610/000001,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Energy Charter Treaty denunciation belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000049,set_clusters,labor-social-rights,"[""labor-social-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Social Security convention belongs in labor/social protection and international treaties."
parl-initiative:senado:leg15:exp:622/000013,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-10,"Penal Code modification belongs in justice/security rights."
parl-initiative:senado:leg14:exp:610/000014,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"EU-Armenia enhanced partnership agreement belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000013,set_clusters,justice-security-rights,"[""justice-security-rights"",""health-care"",""international-relations-treaties""]",Dev,2026-05-10,"Human organ trafficking convention belongs in justice health and international treaties."
parl-initiative:senado:leg14:exp:610/000015,set_clusters,public-finance-taxation,"[""public-finance-taxation"",""international-relations-treaties""]",Dev,2026-05-10,"Double taxation convention belongs in public finance/taxation and international treaties."
parl-initiative:senado:leg14:exp:610/000016,set_clusters,public-finance-taxation,"[""public-finance-taxation"",""international-relations-treaties""]",Dev,2026-05-10,"Double taxation convention belongs in public finance/taxation and international treaties."
parl-initiative:senado:leg14:exp:610/000018,set_clusters,digital-finance-technology,"[""digital-finance-technology"",""justice-security-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Automated personal data protection convention belongs in data technology rights and international treaties."
parl-initiative:senado:leg14:exp:610/000046,set_clusters,public-finance-taxation,"[""public-finance-taxation"",""international-relations-treaties""]",Dev,2026-05-10,"EU own resources decision belongs in public finance and international treaties."
parl-initiative:senado:leg14:exp:610/000012,set_clusters,public-finance-taxation,"[""public-finance-taxation"",""international-relations-treaties""]",Dev,2026-05-10,"Double taxation convention belongs in public finance/taxation and international treaties."
legal-norm:es:boe-a-2015-11724,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-10,"Citizen security organic law belongs in justice/security rights."
legal-norm:es:boe-a-2003-23514,set_clusters,public-finance-taxation,"[""public-finance-taxation""]",Dev,2026-05-10,"General Tax Law belongs in public finance/taxation."
legal-norm:es:boe-a-2015-11722,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-10,"Traffic and road safety law belongs in justice/security rights."
