priority,review_id,issue_id,issue_label,entries_total,actors_total,first_date,last_date,current_primary_cluster_id,current_cluster_ids,current_matches,route,decision,reviewed_primary_cluster_id,reviewed_cluster_ids,reviewer,reviewed_at,rationale,next_action
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3213,policy-event:boe:boe_api_legal:BOE-A-2026-3213,"Orden TED/82/2026, de 9 de febrero, por la que se modifica la Orden TED/749/2020, de 16 de julio, por la que se establecen los requisitos técnicos para la conexión a la red necesarios para la implementación de los códig...",1,1,2026-02-12,2026-02-12,other-official-actions,"[""other-official-actions""]","[{""cluster_id"": ""other-official-actions"", ""issue_review_status"": ""heuristic"", ""label"": ""Otras actuaciones oficiales pendientes de agrupacion manual"", ""matched_keywords"": [], ""method"": ""fallback_manual_grouping_needed_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3213-1d95axw/,set_clusters,climate-environment-water,"[""climate-environment-water""]",Dev,2026-05-11,Electric-grid connection technical requirements belong in energy/environment bucket.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3227,policy-event:boe:boe_api_legal:BOE-A-2026-3227,"Real Decreto 100/2026, de 11 de febrero, por el que se promueve al empleo de General de División del Cuerpo General del Ejército de Tierra al General de Brigada don Ricardo Esteban Cabrejos.",1,1,2026-02-12,2026-02-12,labor-social-rights,"[""labor-social-rights""]","[{""cluster_id"": ""labor-social-rights"", ""issue_review_status"": ""heuristic"", ""label"": ""Trabajo, derechos sociales, juventud y hogares"", ""matched_keywords"": [""empleo""], ""method"": ""label_keyword_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3227-1d95atf/,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-11,"Military promotion belongs in security/defense governance, not labor despite the word empleo.",copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3228,policy-event:boe:boe_api_legal:BOE-A-2026-3228,"Real Decreto 101/2026, de 11 de febrero, por el que se promueve al empleo de General de División del Cuerpo General del Ejército de Tierra al General de Brigada don Santiago Juan Fernández Ortiz-Repiso.",1,1,2026-02-12,2026-02-12,labor-social-rights,"[""labor-social-rights""]","[{""cluster_id"": ""labor-social-rights"", ""issue_review_status"": ""heuristic"", ""label"": ""Trabajo, derechos sociales, juventud y hogares"", ""matched_keywords"": [""empleo""], ""method"": ""label_keyword_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3228-1d95ato/,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-11,"Military promotion belongs in security/defense governance, not labor despite the word empleo.",copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3229,policy-event:boe:boe_api_legal:BOE-A-2026-3229,"Real Decreto 102/2026, de 11 de febrero, por el que se promueve al empleo de General de Brigada del Cuerpo General del Ejército de Tierra al Coronel don José Ramón Collazo Mazaira.",1,1,2026-02-12,2026-02-12,labor-social-rights,"[""labor-social-rights""]","[{""cluster_id"": ""labor-social-rights"", ""issue_review_status"": ""heuristic"", ""label"": ""Trabajo, derechos sociales, juventud y hogares"", ""matched_keywords"": [""empleo""], ""method"": ""label_keyword_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3229-1d95atp/,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-11,"Military promotion belongs in security/defense governance, not labor despite the word empleo.",copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3230,policy-event:boe:boe_api_legal:BOE-A-2026-3230,"Real Decreto 103/2026, de 11 de febrero, por el que se promueve al empleo de General de Brigada del Cuerpo General del Ejército de Tierra al Coronel don Andrés González Alvarado.",1,1,2026-02-12,2026-02-12,labor-social-rights,"[""labor-social-rights""]","[{""cluster_id"": ""labor-social-rights"", ""issue_review_status"": ""heuristic"", ""label"": ""Trabajo, derechos sociales, juventud y hogares"", ""matched_keywords"": [""empleo""], ""method"": ""label_keyword_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3230-1d95aw5/,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-11,"Military promotion belongs in security/defense governance, not labor despite the word empleo.",copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3231,policy-event:boe:boe_api_legal:BOE-A-2026-3231,"Real Decreto 104/2026, de 11 de febrero, por el que se promueve al empleo de General de División del Cuerpo de la Guardia Civil al General de Brigada don David Blanes González.",1,1,2026-02-12,2026-02-12,labor-social-rights,"[""labor-social-rights""]","[{""cluster_id"": ""labor-social-rights"", ""issue_review_status"": ""heuristic"", ""label"": ""Trabajo, derechos sociales, juventud y hogares"", ""matched_keywords"": [""empleo""], ""method"": ""label_keyword_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3231-1d95aw4/,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-11,Guardia Civil promotion belongs in security governance.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3232,policy-event:boe:boe_api_legal:BOE-A-2026-3232,"Real Decreto 105/2026, de 11 de febrero, por el que se promueve al empleo de General de Brigada del Cuerpo de la Guardia Civil al Coronel don Andrés Manuel Velarde Tazón.",1,1,2026-02-12,2026-02-12,labor-social-rights,"[""labor-social-rights""]","[{""cluster_id"": ""labor-social-rights"", ""issue_review_status"": ""heuristic"", ""label"": ""Trabajo, derechos sociales, juventud y hogares"", ""matched_keywords"": [""empleo""], ""method"": ""label_keyword_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3232-1d95aw7/,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-11,Guardia Civil promotion belongs in security governance.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:boe-appointment:boe:boe_api_legal:BOE-A-2026-3233,boe-appointment:boe:boe_api_legal:BOE-A-2026-3233,"Real Decreto 106/2026, de 11 de febrero, por el que se nombra Segundo Jefe del Estado Mayor del Ejército de Tierra al Teniente General del Cuerpo General del Ejército de Tierra don Antonio Jesús Cabrerizo Calatrava.",1,1,2026-02-12,2026-02-12,other-official-actions,"[""other-official-actions""]","[{""cluster_id"": ""other-official-actions"", ""issue_review_status"": ""heuristic"", ""label"": ""Otras actuaciones oficiales pendientes de agrupacion manual"", ""matched_keywords"": [], ""method"": ""fallback_manual_grouping_needed_v1""}]",/accountability-dossiers/issues/boe-appointment-boe-boe-api-legal-boe-a-2026-3233-kyd31p/,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-11,Defense senior command appointment belongs in security/defense governance.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3233,policy-event:boe:boe_api_legal:BOE-A-2026-3233,"Real Decreto 106/2026, de 11 de febrero, por el que se nombra Segundo Jefe del Estado Mayor del Ejército de Tierra al Teniente General del Cuerpo General del Ejército de Tierra don Antonio Jesús Cabrerizo Calatrava.",1,1,2026-02-12,2026-02-12,other-official-actions,"[""other-official-actions""]","[{""cluster_id"": ""other-official-actions"", ""issue_review_status"": ""heuristic"", ""label"": ""Otras actuaciones oficiales pendientes de agrupacion manual"", ""matched_keywords"": [], ""method"": ""fallback_manual_grouping_needed_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3233-1d95aw6/,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-11,Defense senior command appointment belongs in security/defense governance.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:boe-appointment:boe:boe_api_legal:BOE-A-2026-3234,boe-appointment:boe:boe_api_legal:BOE-A-2026-3234,"Real Decreto 107/2026, de 11 de febrero, por el que se nombra Inspector General del Ejército de Tierra al Teniente General del Cuerpo General del Ejército de Tierra don Raimundo Rodríguez Roca.",1,1,2026-02-12,2026-02-12,other-official-actions,"[""other-official-actions""]","[{""cluster_id"": ""other-official-actions"", ""issue_review_status"": ""heuristic"", ""label"": ""Otras actuaciones oficiales pendientes de agrupacion manual"", ""matched_keywords"": [], ""method"": ""fallback_manual_grouping_needed_v1""}]",/accountability-dossiers/issues/boe-appointment-boe-boe-api-legal-boe-a-2026-3234-kyd31m/,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-11,Defense senior command appointment belongs in security/defense governance.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3234,policy-event:boe:boe_api_legal:BOE-A-2026-3234,"Real Decreto 107/2026, de 11 de febrero, por el que se nombra Inspector General del Ejército de Tierra al Teniente General del Cuerpo General del Ejército de Tierra don Raimundo Rodríguez Roca.",1,1,2026-02-12,2026-02-12,other-official-actions,"[""other-official-actions""]","[{""cluster_id"": ""other-official-actions"", ""issue_review_status"": ""heuristic"", ""label"": ""Otras actuaciones oficiales pendientes de agrupacion manual"", ""matched_keywords"": [], ""method"": ""fallback_manual_grouping_needed_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3234-1d95aw1/,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-11,Defense senior command appointment belongs in security/defense governance.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:boe-appointment:boe:boe_api_legal:BOE-A-2026-3235,boe-appointment:boe:boe_api_legal:BOE-A-2026-3235,"Real Decreto 108/2026, de 11 de febrero, por el que se nombra Jefe del Mando de Apoyo Logístico del Ejército de Tierra al Teniente General del Cuerpo General del Ejército de Tierra don Guillermo Ramírez Altozano.",1,1,2026-02-12,2026-02-12,other-official-actions,"[""other-official-actions""]","[{""cluster_id"": ""other-official-actions"", ""issue_review_status"": ""heuristic"", ""label"": ""Otras actuaciones oficiales pendientes de agrupacion manual"", ""matched_keywords"": [], ""method"": ""fallback_manual_grouping_needed_v1""}]",/accountability-dossiers/issues/boe-appointment-boe-boe-api-legal-boe-a-2026-3235-kyd31n/,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-11,Defense senior command appointment belongs in security/defense governance.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3235,policy-event:boe:boe_api_legal:BOE-A-2026-3235,"Real Decreto 108/2026, de 11 de febrero, por el que se nombra Jefe del Mando de Apoyo Logístico del Ejército de Tierra al Teniente General del Cuerpo General del Ejército de Tierra don Guillermo Ramírez Altozano.",1,1,2026-02-12,2026-02-12,other-official-actions,"[""other-official-actions""]","[{""cluster_id"": ""other-official-actions"", ""issue_review_status"": ""heuristic"", ""label"": ""Otras actuaciones oficiales pendientes de agrupacion manual"", ""matched_keywords"": [], ""method"": ""fallback_manual_grouping_needed_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3235-1d95aw0/,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-11,Defense senior command appointment belongs in security/defense governance.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:boe-appointment:boe:boe_api_legal:BOE-A-2026-3236,boe-appointment:boe:boe_api_legal:BOE-A-2026-3236,"Real Decreto 109/2026, de 11 de febrero, por el que se nombra Jefe del Mando de Personal del Ejército de Tierra al Teniente General del Cuerpo General del Ejército de Tierra don Joaquín Broch Hueso.",1,1,2026-02-12,2026-02-12,other-official-actions,"[""other-official-actions""]","[{""cluster_id"": ""other-official-actions"", ""issue_review_status"": ""heuristic"", ""label"": ""Otras actuaciones oficiales pendientes de agrupacion manual"", ""matched_keywords"": [], ""method"": ""fallback_manual_grouping_needed_v1""}]",/accountability-dossiers/issues/boe-appointment-boe-boe-api-legal-boe-a-2026-3236-kyd31k/,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-11,Defense senior command appointment belongs in security/defense governance.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3236,policy-event:boe:boe_api_legal:BOE-A-2026-3236,"Real Decreto 109/2026, de 11 de febrero, por el que se nombra Jefe del Mando de Personal del Ejército de Tierra al Teniente General del Cuerpo General del Ejército de Tierra don Joaquín Broch Hueso.",1,1,2026-02-12,2026-02-12,other-official-actions,"[""other-official-actions""]","[{""cluster_id"": ""other-official-actions"", ""issue_review_status"": ""heuristic"", ""label"": ""Otras actuaciones oficiales pendientes de agrupacion manual"", ""matched_keywords"": [], ""method"": ""fallback_manual_grouping_needed_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3236-1d95aw3/,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-11,Defense senior command appointment belongs in security/defense governance.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:boe-appointment:boe:boe_api_legal:BOE-A-2026-3242,boe-appointment:boe:boe_api_legal:BOE-A-2026-3242,"Real Decreto 110/2026, de 10 de febrero, por el que se nombra Director General de Ordenación Profesional a don Miguel Ángel Máñez Ortiz.",1,1,2026-02-12,2026-02-12,other-official-actions,"[""other-official-actions""]","[{""cluster_id"": ""other-official-actions"", ""issue_review_status"": ""heuristic"", ""label"": ""Otras actuaciones oficiales pendientes de agrupacion manual"", ""matched_keywords"": [], ""method"": ""fallback_manual_grouping_needed_v1""}]",/accountability-dossiers/issues/boe-appointment-boe-boe-api-legal-boe-a-2026-3242-kyd2vf/,set_clusters,health-care,"[""health-care""]",Dev,2026-05-11,Health ministry director general appointment belongs in health governance.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3242,policy-event:boe:boe_api_legal:BOE-A-2026-3242,"Real Decreto 110/2026, de 10 de febrero, por el que se nombra Director General de Ordenación Profesional a don Miguel Ángel Máñez Ortiz.",1,1,2026-02-12,2026-02-12,other-official-actions,"[""other-official-actions""]","[{""cluster_id"": ""other-official-actions"", ""issue_review_status"": ""heuristic"", ""label"": ""Otras actuaciones oficiales pendientes de agrupacion manual"", ""matched_keywords"": [], ""method"": ""fallback_manual_grouping_needed_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3242-1d95ark/,set_clusters,health-care,"[""health-care""]",Dev,2026-05-11,Health ministry director general appointment belongs in health governance.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3265,policy-event:boe:boe_api_legal:BOE-A-2026-3265,"Real Decreto 113/2026, de 11 de febrero, por el que se indulta al Guardia Civil don Javier Arranz Mateo.",1,1,2026-02-12,2026-02-12,other-official-actions,"[""other-official-actions""]","[{""cluster_id"": ""other-official-actions"", ""issue_review_status"": ""heuristic"", ""label"": ""Otras actuaciones oficiales pendientes de agrupacion manual"", ""matched_keywords"": [], ""method"": ""fallback_manual_grouping_needed_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3265-1d95apx/,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-11,Pardon of Guardia Civil member belongs in justice/security rights.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3208,policy-event:boe:boe_api_legal:BOE-A-2026-3208,"Real Decreto 84/2026, de 11 de febrero, por el que se establece el Curso de especialización de Formación Profesional de Grado Medio en Maestría de corte y cata de jamón y paleta curados y se fijan los aspectos básicos d...",1,1,2026-02-12,2026-02-12,education-culture,"[""education-culture""]","[{""cluster_id"": ""education-culture"", ""issue_review_status"": ""heuristic"", ""label"": ""Educacion, cultura, universidades y formacion"", ""matched_keywords"": [""formacion profesional""], ""method"": ""label_keyword_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3208-1d95avi/,set_clusters,education-culture,"[""education-culture""]",Dev,2026-05-11,Vocational training course curriculum.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3209,policy-event:boe:boe_api_legal:BOE-A-2026-3209,"Real Decreto 85/2026, de 11 de febrero, por el que se establece el Certificado profesional en Instalación y mantenimiento de ascensores y otros equipos fijos de elevación y transporte, de la familia profesional Instalac...",1,1,2026-02-12,2026-02-12,labor-social-rights,"[""labor-social-rights""]","[{""cluster_id"": ""labor-social-rights"", ""issue_review_status"": ""heuristic"", ""label"": ""Trabajo, derechos sociales, juventud y hogares"", ""matched_keywords"": [""familia""], ""method"": ""label_keyword_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3209-1d95avj/,set_clusters,education-culture,"[""education-culture""]",Dev,2026-05-11,Professional certificate curriculum in vocational training.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3210,policy-event:boe:boe_api_legal:BOE-A-2026-3210,"Real Decreto 86/2026, de 11 de febrero, por el que se establece el Certificado profesional en Habilitación para la docencia en grados A, B y C del Sistema de Formación Profesional, de la familia profesional Servicios So...",1,1,2026-02-12,2026-02-12,education-culture,"[""education-culture"", ""labor-social-rights""]","[{""cluster_id"": ""education-culture"", ""issue_review_status"": ""heuristic"", ""label"": ""Educacion, cultura, universidades y formacion"", ""matched_keywords"": [""formacion profesional""], ""method"": ""label_keyword_v1""}, {""cluster_id"": ""labor-social-rights"", ""issue_review_status"": ""heuristic"", ""label"": ""Trabajo, derechos sociales, juventud y hogares"", ""matched_keywords"": [""familia""], ""method"": ""label_keyword_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3210-1d95axz/,set_clusters,education-culture,"[""education-culture""]",Dev,2026-05-11,Teaching habilitation professional certificate belongs in education/training.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
