link_key,fragment_id,norm_id,boe_id_context,delegated_institution_label,designated_role_title,reasons_csv,candidate_rank_for_link,candidate_score,candidate_relevance_bucket,autofill_confidence,candidate_boe_id,candidate_doc_url,candidate_publication_date,candidate_publication_date_iso,candidate_department,candidate_title,candidate_person_hint,role_token_overlap,institution_token_overlap,institution_overlap_min,institution_overlap_ok,suggested_reviewed_designated_actor_label,suggested_reviewed_enforcement_evidence_date,suggested_reviewed_source_url,suggested_reviewed_evidence_quote,recommended_action,review_status,review_note
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,missing_designated_actor,3,27,weak,low,BOE-A-2006-1118,https://www.boe.es/buscar/doc.php?id=BOE-A-2006-1118,25/01/2006,2006-01-25,Ministerio de Economía y Hacienda,"Resolución de 17 de enero de 2006, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento de don Luis Carmelo de Andrés Herranz como Jefe de la Oficina Nacional de Investigación del Fraude del Departamento de Inspección Financiera y Tributaria.",Luis Carmelo de Andrés Herranz,1,1,2,0,Luis Carmelo de Andrés Herranz,,https://www.boe.es/buscar/doc.php?id=BOE-A-2006-1118,"Resolución de 17 de enero de 2006, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento de don Luis Carmelo de Andrés Herranz como Jefe de la Oficina Nacional de Investigación del Fraude del Departamento de Inspección Financiera y Tributaria.",inspect_candidate_low_institution_overlap,pending,
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,missing_designated_actor,4,26,weak,low,BOE-A-2004-14329,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-14329,02/08/2004,2004-08-02,Ministerio de Defensa,"Orden DEF/2605/2004, de 27 de julio, por la que se dispone el nombramiento del General de Brigada Veterinario del Cuerpo Militar de Sanidad don David Tabanera del Real como Jefe de Apoyo Veterinario de la Inspección General de Sanidad.",,1,1,2,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-14329,"Orden DEF/2605/2004, de 27 de julio, por la que se dispone el nombramiento del General de Brigada Veterinario del Cuerpo Militar de Sanidad don David Tabanera del Real como Jefe de Apoyo Veterinario de la Inspección General de Sanidad.",inspect_candidate_low_institution_overlap,pending,
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,missing_designated_actor,5,25,weak,low,BOE-A-2004-10572,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-10572,08/06/2004,2004-06-08,Ministerio de Defensa,"Orden DEF/1678/2004, de 31 de mayo, por la que se dispone el nombramiento del General de Brigada del Cuerpo General de las Armas del Ejército de Tierra don Jesús Carlos Fernández Asensio como Jefe del Estado Mayor de la Inspección General del Ejército de Tierra.",,1,1,2,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-10572,"Orden DEF/1678/2004, de 31 de mayo, por la que se dispone el nombramiento del General de Brigada del Cuerpo General de las Armas del Ejército de Tierra don Jesús Carlos Fernández Asensio como Jefe del Estado Mayor de la Inspección General del Ejército de Tierra.",inspect_candidate_low_institution_overlap,pending,
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,missing_designated_actor,6,24,weak,low,BOE-A-2004-9370,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-9370,20/05/2004,2004-05-20,Ministerio de Economía y Hacienda,"Resolución de 14 de mayo de 2004, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Inspector Jefe de la Oficina Nacional de Inspección del Departamento de Inspección Financiera y Tributaria de don Ángel Mariano Serrano Gutiérrez.",Ángel Mariano Serrano Gutiérrez,1,1,2,0,Ángel Mariano Serrano Gutiérrez,,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-9370,"Resolución de 14 de mayo de 2004, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Inspector Jefe de la Oficina Nacional de Inspección del Departamento de Inspección Financiera y Tributaria de don Ángel Mariano Serrano Gutiérrez.",inspect_candidate_low_institution_overlap,pending,
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,missing_designated_actor,7,23,weak,low,BOE-A-2004-9371,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-9371,20/05/2004,2004-05-20,Ministerio de Economía y Hacienda,"Resolución de 14 de mayo de 2004, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Inspectora Jefe de la Oficina Nacional de Investigación del Fraude del Departamento de Inspección Financiera y Tributaria de doña Inmaculada Vela Sastre.",Inmaculada Vela Sastre,1,1,2,0,Inmaculada Vela Sastre,,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-9371,"Resolución de 14 de mayo de 2004, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Inspectora Jefe de la Oficina Nacional de Investigación del Fraude del Departamento de Inspección Financiera y Tributaria de doña Inmaculada Vela Sastre.",inspect_candidate_low_institution_overlap,pending,
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,missing_designated_actor,8,22,weak,low,BOE-A-2004-1308,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-1308,22/01/2004,2004-01-22,Ministerio de Defensa,"Orden DEF/58/2004, de 13 de enero, por la que se dispone el nombramiento del General de Brigada del Cuerpo de Intendencia del Ejército del Aire don Gonzalo Martínez Laorden como Jefe de Administración Económica de la Inspección General de Sanidad de la Defensa.",,1,1,2,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-1308,"Orden DEF/58/2004, de 13 de enero, por la que se dispone el nombramiento del General de Brigada del Cuerpo de Intendencia del Ejército del Aire don Gonzalo Martínez Laorden como Jefe de Administración Económica de la Inspección General de Sanidad de la Defensa.",inspect_candidate_low_institution_overlap,pending,
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,missing_designated_actor,9,21,weak,low,BOE-A-2003-9523,https://www.boe.es/buscar/doc.php?id=BOE-A-2003-9523,10/05/2003,2003-05-10,Ministerio de Defensa,"Orden DEF/1135/2003, de 9 de mayo, por la que se dispone el nombramiento del Coronel Interventor del Cuerpo Militar de Intervención D. Juan Antonio Miguélez Paz como Jefe Adjunto de Administración Económica de la Inspección General de Sanidad de la Defensa.",Juan Antonio Miguélez Paz como Jefe,1,1,2,0,Juan Antonio Miguélez Paz como Jefe,,https://www.boe.es/buscar/doc.php?id=BOE-A-2003-9523,"Orden DEF/1135/2003, de 9 de mayo, por la que se dispone el nombramiento del Coronel Interventor del Cuerpo Militar de Intervención D. Juan Antonio Miguélez Paz como Jefe Adjunto de Administración Económica de la Inspección General de Sanidad de la Defensa.",inspect_candidate_low_institution_overlap,pending,
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,missing_designated_actor,10,20,weak,low,BOE-A-2003-6450,https://www.boe.es/buscar/doc.php?id=BOE-A-2003-6450,31/03/2003,2003-03-31,Ministerio de Defensa,"Orden DEF/703/2003, de 20 de marzo, por la que se dispone el nombramiento del General de División del Cuerpo General de las Armas del Ejército de Tierra don Pedro Vigil Gallego como Jefe del Centro de Control de Generación de Fuerzas de la Inspección General de Movilización y Comandante Militar de las provincias de Burgos y Cantabria.",,1,1,2,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2003-6450,"Orden DEF/703/2003, de 20 de marzo, por la que se dispone el nombramiento del General de División del Cuerpo General de las Armas del Ejército de Tierra don Pedro Vigil Gallego como Jefe del Centro de Control de Generación de Fuerzas de la Inspección General de Movilización y Comandante Militar de las provincias de Burgos y Cantabria.",inspect_candidate_low_institution_overlap,pending,
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,missing_designated_actor,11,20,weak,low,BOE-A-2003-1595,https://www.boe.es/buscar/doc.php?id=BOE-A-2003-1595,25/01/2003,2003-01-25,Ministerio de Defensa,"Orden DEF/75/2003, de 20 de enero, por la que se dispone el nombramiento del General de División Médico del Cuerpo Militar de Sanidad don Alfonso López Miranda como Jefe de la División Asistencial de la Inspección General de Sanidad de la Defensa.",,1,1,2,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2003-1595,"Orden DEF/75/2003, de 20 de enero, por la que se dispone el nombramiento del General de División Médico del Cuerpo Militar de Sanidad don Alfonso López Miranda como Jefe de la División Asistencial de la Inspección General de Sanidad de la Defensa.",inspect_candidate_low_institution_overlap,pending,
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,missing_designated_actor,12,20,weak,low,BOE-A-2002-13462,https://www.boe.es/buscar/doc.php?id=BOE-A-2002-13462,09/07/2002,2002-07-09,Ministerio de Defensa,"Orden DEF/1710/2002, de 27 de junio, por la que se dispone el nombramiento del General de División Médico del Cuerpo Militar de Sanidad, don Antonio Pérez Peña como Jefe de la División Asistencial de la Inspección General de Sanidad de la Defensa.",,1,1,2,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2002-13462,"Orden DEF/1710/2002, de 27 de junio, por la que se dispone el nombramiento del General de División Médico del Cuerpo Militar de Sanidad, don Antonio Pérez Peña como Jefe de la División Asistencial de la Inspección General de Sanidad de la Defensa.",inspect_candidate_low_institution_overlap,pending,
delegated_enforcement_v1|es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal|Ministerio de Hacienda|AEAT|Delegaciones AEAT|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23186,es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal,es:boe-a-2003-23186,BOE-A-2003-23186,AEAT,Delegacion Especial,institutional_designated_actor,1,49,strong,high,BOE-A-2007-12769,https://www.boe.es/buscar/doc.php?id=BOE-A-2007-12769,30/06/2007,2007-06-30,Ministerio de Economía y Hacienda,"Resolución de 21 de junio de 2007, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Delegado Ejecutivo de la Delegación Especial de Andalucía, Ceuta y Melilla de don José Alberto García Valera.",José Alberto García Valera,2,4,1,1,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2007-12769,"Resolución de 21 de junio de 2007, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Delegado Ejecutivo de la Delegación Especial de Andalucía, Ceuta y Melilla de don José Alberto García Valera.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal|Ministerio de Hacienda|AEAT|Delegaciones AEAT|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23186,es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal,es:boe-a-2003-23186,BOE-A-2003-23186,AEAT,Delegacion Especial,institutional_designated_actor,2,48,strong,high,BOE-A-2006-2465,https://www.boe.es/buscar/doc.php?id=BOE-A-2006-2465,14/02/2006,2006-02-14,Ministerio de Economía y Hacienda,"Resolución de 8 de febrero de 2006, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento de don Jesús Manuel Andradas Heranz, como Delegado de Planificación y Control de la Delegación Especial de la Agencia Estatal de Administración Tributaria de Madrid.",Jesús Manuel Andradas Heranz,2,4,1,1,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2006-2465,"Resolución de 8 de febrero de 2006, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento de don Jesús Manuel Andradas Heranz, como Delegado de Planificación y Control de la Delegación Especial de la Agencia Estatal de Administración Tributaria de Madrid.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal|Ministerio de Hacienda|AEAT|Delegaciones AEAT|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23186,es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal,es:boe-a-2003-23186,BOE-A-2003-23186,AEAT,Delegacion Especial,institutional_designated_actor,3,47,strong,high,BOE-A-2004-9367,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-9367,20/05/2004,2004-05-20,Ministerio de Economía y Hacienda,"Resolución de 14 de mayo de 2004, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Delegado Especial Adjunto Ejecutivo en la Delegación Especial de la Agencia Estatal de Administración Tributaria en Madrid de don Manuel Trillo Álvarez.",Manuel Trillo Álvarez,2,4,1,1,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-9367,"Resolución de 14 de mayo de 2004, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Delegado Especial Adjunto Ejecutivo en la Delegación Especial de la Agencia Estatal de Administración Tributaria en Madrid de don Manuel Trillo Álvarez.",review_for_possible_approval,pending,
